;name;dataset;size;train_index;anomalous;events;anomaly_rate;first
87;088_WSD_id_60_WebService_tr_4548_1st_5596;WSD;18193;4548;59;9;0.0032430055515857746;5596
88;089_WSD_id_61_WebService_tr_1010_1st_1110;WSD;17429;1010;241;45;0.013827528831258248;1110
89;090_WSD_id_62_WebService_tr_2281_1st_2381;WSD;13236;2281;150;23;0.011332728921124207;2381
90;091_WSD_id_63_WebService_tr_500_1st_363;WSD;18230;500;158;21;0.008667032364234778;363
91;092_WSD_id_64_WebService_tr_500_1st_118;WSD;18242;500;43;11;0.002357197675693455;118
92;093_WSD_id_65_WebService_tr_1125_1st_1225;WSD;18179;1125;177;23;0.009736509158919632;1225
93;094_WSD_id_66_WebService_tr_3309_1st_3914;WSD;13237;3309;35;7;0.0026441036488630354;3914
94;095_WSD_id_67_WebService_tr_2182_1st_2282;WSD;18236;2182;14;3;0.0007677122175915771;2282
95;096_WSD_id_68_WebService_tr_1341_1st_1441;WSD;10744;1341;33;7;0.003071481757259866;1441
96;097_WSD_id_69_WebService_tr_4520_1st_6465;WSD;18083;4520;44;9;0.002433224575568213;6465
97;098_WSD_id_70_WebService_tr_3575_1st_3675;WSD;18236;3575;9;7;0.0004935292827374424;3675
98;099_WSD_id_71_WebService_tr_4559_1st_14411;WSD;18236;4559;41;5;0.0022483000658039044;14411
99;100_WSD_id_72_WebService_tr_4559_1st_10254;WSD;18236;4559;50;9;0.0027418293485413467;10254
100;101_WSD_id_73_WebService_tr_1513_1st_1613;WSD;18236;1513;71;3;0.0038933976749287126;1613
101;102_WSD_id_74_WebService_tr_3306_1st_3639;WSD;13227;3306;29;7;0.0021924850684206547;3639
102;103_WSD_id_75_WebService_tr_1375_1st_1475;WSD;18179;1375;107;9;0.005885912316409043;1475
103;104_WSD_id_76_WebService_tr_3047_1st_3147;WSD;18084;3047;128;25;0.007078080070780801;3147
104;105_WSD_id_77_WebService_tr_2348_1st_2448;WSD;18380;2348;96;19;0.005223068552774755;2448
105;106_WSD_id_78_WebService_tr_3363_1st_3463;WSD;18236;3363;221;7;0.012118885720552752;3463
106;107_WSD_id_79_WebService_tr_1095_1st_1195;WSD;18236;1095;326;13;0.01787672735248958;1195
107;108_WSD_id_80_WebService_tr_2368_1st_2468;WSD;18220;2368;193;31;0.010592755214050493;2468
108;109_WSD_id_81_WebService_tr_3175_1st_3275;WSD;18058;3175;65;17;0.003599512681360062;3275
109;110_WSD_id_82_WebService_tr_500_1st_375;WSD;18236;500;182;7;0.009980258828690502;375
110;111_WSD_id_83_WebService_tr_3934_1st_7531;WSD;15736;3934;3;3;0.00019064565327910524;7531
111;112_WSD_id_84_WebService_tr_2442_1st_2542;WSD;18380;2442;63;13;0.003427638737758433;2542
112;113_WSD_id_85_WebService_tr_500_1st_335;WSD;18242;500;113;17;0.006194496217520009;335
113;114_WSD_id_86_WebService_tr_500_1st_403;WSD;18243;500;83;17;0.004549690292166859;403
114;115_WSD_id_87_WebService_tr_2252_1st_2352;WSD;18214;2252;181;29;0.009937410782914241;2352
115;116_WSD_id_88_WebService_tr_3934_1st_13861;WSD;15736;3934;5;3;0.00031774275546517537;13861
116;117_WSD_id_89_WebService_tr_3251_1st_3351;WSD;16376;3251;3;3;0.00018319491939423546;3351
117;118_WSD_id_90_WebService_tr_4559_1st_6317;WSD;18236;4559;3;3;0.0001645097609124808;6317
118;119_WSD_id_91_WebService_tr_4559_1st_12353;WSD;18236;4559;34;3;0.001864443957008116;12353
119;120_WSD_id_92_WebService_tr_2329_1st_2429;WSD;17438;2329;95;19;0.005447872462438353;2429
120;121_WSD_id_93_WebService_tr_4559_1st_11749;WSD;18236;4559;43;7;0.0023579732397455582;11749
121;122_WSD_id_94_WebService_tr_4559_1st_8618;WSD;18236;4559;56;5;0.0030708488703663083;8618
122;123_WSD_id_95_WebService_tr_4559_1st_4901;WSD;18236;4559;36;13;0.0019741171309497698;4901
123;124_WSD_id_96_WebService_tr_4559_1st_14350;WSD;18236;4559;10;3;0.0005483658697082694;14350
124;125_WSD_id_97_WebService_tr_2217_1st_2317;WSD;18250;2217;162;21;0.008876712328767123;2317
125;126_WSD_id_98_WebService_tr_657_1st_757;WSD;18883;657;252;59;0.013345337075676535;757
126;127_WSD_id_99_WebService_tr_1164_1st_1264;WSD;18190;1164;117;23;0.006432105552501374;1264
127;128_WSD_id_100_WebService_tr_4068_1st_4168;WSD;18236;4068;200;9;0.010967317394165387;4168
128;129_WSD_id_101_WebService_tr_4448_1st_9592;WSD;17794;4448;20;7;0.0011239743733842868;9592
129;130_WSD_id_102_WebService_tr_2362_1st_2462;WSD;18236;2362;195;19;0.010693134459311252;2462
130;131_WSD_id_103_WebService_tr_4573_1st_7021;WSD;18294;4573;13;3;0.0007106155023504974;7021
131;132_WSD_id_104_WebService_tr_4037_1st_4137;WSD;18236;4037;46;5;0.002522483000658039;4137
132;133_WSD_id_105_WebService_tr_3934_1st_5937;WSD;15736;3934;15;3;0.0009532282663955262;5937
133;134_WSD_id_106_WebService_tr_4559_1st_7990;WSD;18236;4559;106;7;0.005812678218907655;7990
134;135_WSD_id_107_WebService_tr_3779_1st_3879;WSD;15506;3779;50;9;0.0032245582355217334;3879
135;136_WSD_id_108_WebService_tr_3414_1st_3514;WSD;18236;3414;183;17;0.010035095415661329;3514
136;137_WSD_id_109_WebService_tr_4559_1st_14404;WSD;18236;4559;59;5;0.003235358631278789;14404
137;138_WSD_id_110_WebService_tr_4584_1st_6039;WSD;18336;4584;13;3;0.0007089877835951134;6039
138;139_WSD_id_111_WebService_tr_1701_1st_1801;WSD;18381;1701;87;17;0.004733148359719276;1801
139;140_MSL_id_1_Sensor_tr_530_1st_630;MSL;2430;530;121;3;0.04979423868312757;630
140;141_MSL_id_2_Sensor_tr_500_1st_550;MSL;2264;500;312;5;0.13780918727915195;550
141;142_MSL_id_3_Sensor_tr_1525_1st_4575;MSL;6100;1525;181;3;0.029672131147540984;4575
142;143_MSL_id_4_Sensor_tr_980_1st_3550;MSL;3922;980;151;3;0.038500764915859256;3550
143;144_MSL_id_5_Sensor_tr_1525_1st_4590;MSL;6100;1525;131;3;0.021475409836065575;4590
144;145_MSL_id_6_Sensor_tr_530_1st_630;MSL;2430;530;121;3;0.04979423868312757;630
145;146_MSL_id_7_Sensor_tr_554_1st_1172;MSL;2217;554;69;3;0.03112313937753721;1172
146;147_MSL_id_8_Sensor_tr_590_1st_690;MSL;2430;590;252;5;0.1037037037037037;690
147;148_MSL_id_9_Sensor_tr_883_1st_1238;MSL;3535;883;228;5;0.0644978783592645;1238
148;149_Stock_id_1_Finance_tr_500_1st_7;Stock;20000;500;981;1863;0.04905;7
149;150_Stock_id_2_Finance_tr_500_1st_7;Stock;10000;500;1409;2441;0.1409;7
150;151_Stock_id_3_Finance_tr_500_1st_62;Stock;10000;500;487;927;0.0487;62
151;152_Stock_id_4_Finance_tr_500_1st_2;Stock;20000;500;2809;4907;0.14045;2
152;153_Stock_id_5_Finance_tr_500_1st_1;Stock;10000;500;483;913;0.0483;1
153;154_Stock_id_6_Finance_tr_500_1st_38;Stock;20000;500;975;1823;0.04875;38
154;155_Stock_id_7_Finance_tr_500_1st_18;Stock;20000;500;973;1849;0.04865;18
155;156_Stock_id_8_Finance_tr_500_1st_24;Stock;10000;500;485;915;0.0485;24
156;157_Stock_id_9_Finance_tr_500_1st_19;Stock;10000;500;1392;2401;0.1392;19
157;158_Stock_id_10_Finance_tr_500_1st_2;Stock;20000;500;977;1841;0.04885;2
158;159_Stock_id_11_Finance_tr_500_1st_5;Stock;20000;500;2792;4799;0.1396;5
159;160_Stock_id_12_Finance_tr_500_1st_14;Stock;20000;500;981;1869;0.04905;14
160;161_Stock_id_13_Finance_tr_500_1st_3;Stock;10000;500;492;929;0.0492;3
161;162_Stock_id_14_Finance_tr_500_1st_4;Stock;10000;500;1380;2399;0.138;4
162;163_Stock_id_15_Finance_tr_500_1st_3;Stock;10000;500;1397;2358;0.1397;3
163;164_Stock_id_16_Finance_tr_500_1st_8;Stock;20000;500;2775;4743;0.13875;8
164;165_Stock_id_17_Finance_tr_500_1st_7;Stock;20000;500;2798;4761;0.1399;7
165;166_Stock_id_18_Finance_tr_500_1st_18;Stock;20000;500;2797;4803;0.13985;18
166;167_Stock_id_19_Finance_tr_500_1st_7;Stock;10000;500;488;937;0.0488;7
167;168_Stock_id_20_Finance_tr_500_1st_1;Stock;10000;500;1395;2417;0.1395;1
168;169_Daphnet_id_1_HumanActivity_tr_9693_1st_20732;Daphnet;38774;9693;2306;13;0.05947284262650229;20732
169;170_MITDB_id_1_Medical_tr_17675_1st_17775;MITDB;500000;17675;22845;99;0.04569;17775
170;171_MITDB_id_2_Medical_tr_50000_1st_88864;MITDB;650000;50000;19657;85;0.030241538461538462;88864
171;172_MITDB_id_3_Medical_tr_27274_1st_27374;MITDB;650000;27274;18109;55;0.02786;27374
172;173_MITDB_id_4_Medical_tr_13620_1st_13720;MITDB;650000;13620;66682;399;0.10258769230769231;13720
173;174_MITDB_id_5_Medical_tr_50000_1st_539948;MITDB;650000;50000;574;5;0.0008830769230769231;539948
174;175_MITDB_id_6_Medical_tr_27274_1st_27374;MITDB;650000;27274;18109;55;0.02786;27374
175;176_MITDB_id_7_Medical_tr_6232_1st_6332;MITDB;650000;6232;38272;289;0.05888;6332
176;177_MITDB_id_8_Medical_tr_17675_1st_17775;MITDB;650000;17675;27124;121;0.04172923076923077;17775
177;178_SMD_id_1_Facility_tr_6000_1st_10609;SMD;24000;6000;427;9;0.017791666666666667;10609
178;179_SMD_id_2_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
179;180_SMD_id_3_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
180;181_SMD_id_4_Facility_tr_5000_1st_15144;SMD;20000;5000;908;7;0.0454;15144
181;182_SMD_id_5_Facility_tr_7174_1st_21230;SMD;28696;7174;198;7;0.006899916364650125;21230
182;183_SMD_id_6_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
183;184_SMD_id_7_Facility_tr_7119_1st_15849;SMD;28479;7119;2694;17;0.09459601811861372;15849
184;185_SMD_id_8_Facility_tr_5000_1st_15144;SMD;20000;5000;908;7;0.0454;15144
185;186_SMD_id_9_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
186;187_SMD_id_10_Facility_tr_5000_1st_15849;SMD;20000;5000;2190;8;0.1095;15849
187;188_SMD_id_11_Facility_tr_500_1st_392;SMD;23703;500;817;25;0.034468210775007384;392
188;189_SMD_id_12_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
189;190_SMD_id_13_Facility_tr_7119_1st_15849;SMD;28479;7119;2694;17;0.09459601811861372;15849
190;191_SMD_id_14_Facility_tr_4596_1st_4696;SMD;22700;4596;146;5;0.006431718061674009;4696
191;192_SMD_id_15_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
192;193_SMD_id_16_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
193;194_SMD_id_17_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
194;195_SMD_id_18_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
195;196_SMD_id_19_Facility_tr_7174_1st_21230;SMD;28696;7174;192;5;0.006690827989963758;21230
196;197_SMD_id_20_Facility_tr_5000_1st_15144;SMD;20000;5000;908;7;0.0454;15144
197;198_SMD_id_21_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
198;199_SMD_id_22_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
199;200_SMD_id_23_Facility_tr_7174_1st_21230;SMD;28696;7174;198;7;0.006899916364650125;21230
200;201_SMD_id_24_Facility_tr_7174_1st_21230;SMD;28696;7174;198;7;0.006899916364650125;21230
201;202_SMD_id_25_Facility_tr_6250_1st_21230;SMD;25000;6250;66;3;0.00264;21230
202;203_SMD_id_26_Facility_tr_7174_1st_21230;SMD;28696;7174;198;7;0.006899916364650125;21230
203;204_SMD_id_27_Facility_tr_5000_1st_15144;SMD;20000;5000;908;7;0.0454;15144
204;205_SMD_id_28_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
205;206_SMD_id_29_Facility_tr_6250_1st_21230;SMD;25000;6250;66;3;0.00264;21230
206;207_SMD_id_30_Facility_tr_7174_1st_21230;SMD;28696;7174;198;7;0.006899916364650125;21230
207;208_SMD_id_31_Facility_tr_5000_1st_15144;SMD;20000;5000;908;7;0.0454;15144
208;209_SMD_id_32_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
209;210_SMD_id_33_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
210;211_SMD_id_34_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
211;212_SMD_id_35_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
212;213_SMD_id_36_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
213;214_SMD_id_37_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
214;215_SMD_id_38_Facility_tr_5925_1st_17580;SMD;23703;5925;161;3;0.006792389149052862;17580
215;216_LTDB_id_1_Medical_tr_500_1st_266;LTDB;100000;500;14857;275;0.14857;266
216;217_LTDB_id_2_Medical_tr_500_1st_266;LTDB;100000;500;14857;275;0.14857;266
217;218_LTDB_id_3_Medical_tr_500_1st_266;LTDB;100000;500;14857;275;0.14857;266
218;219_LTDB_id_4_Medical_tr_3618_1st_3718;LTDB;100000;3618;14781;233;0.14781;3718
219;220_LTDB_id_5_Medical_tr_500_1st_26;LTDB;100000;500;31565;332;0.31565;26
220;221_LTDB_id_6_Medical_tr_500_1st_26;LTDB;100000;500;31565;332;0.31565;26
221;222_LTDB_id_7_Medical_tr_3618_1st_3718;LTDB;100000;3618;14781;233;0.14781;3718
222;223_LTDB_id_8_Medical_tr_4456_1st_4556;LTDB;100000;4456;16159;201;0.16159;4556
223;224_LTDB_id_9_Medical_tr_4456_1st_4556;LTDB;100000;4456;16159;201;0.16159;4556
224;225_MGAB_id_1_Synthetic_tr_25000_1st_38478;MGAB;100000;25000;200;21;0.002;38478
225;226_MGAB_id_2_Synthetic_tr_20000_1st_45134;MGAB;80000;20000;140;15;0.00175;45134
226;227_MGAB_id_3_Synthetic_tr_25000_1st_44340;MGAB;100000;25000;200;21;0.002;44340
227;228_MGAB_id_4_Synthetic_tr_25000_1st_38948;MGAB;100000;25000;200;21;0.002;38948
228;229_MGAB_id_5_Synthetic_tr_25000_1st_33098;MGAB;100000;25000;200;21;0.002;33098
229;230_MGAB_id_6_Synthetic_tr_25000_1st_42441;MGAB;100000;25000;200;21;0.002;42441
230;231_MGAB_id_7_Synthetic_tr_25000_1st_35544;MGAB;100000;25000;200;21;0.002;35544
231;232_MGAB_id_8_Synthetic_tr_25000_1st_32708;MGAB;100000;25000;200;21;0.002;32708
232;233_MGAB_id_9_Synthetic_tr_25000_1st_41300;MGAB;100000;25000;200;21;0.002;41300
233;234_SED_id_1_Medical_tr_3740_1st_3840;SED;19999;3740;960;31;0.048002400120006;3840
234;235_SED_id_2_Medical_tr_2499_1st_3840;SED;9999;2499;384;13;0.03840384038403841;3840
235;236_SED_id_3_Medical_tr_3740_1st_3840;SED;39999;3740;1472;47;0.036800920023000575;3840
236;237_SVDB_id_1_Medical_tr_11587_1st_11687;SVDB;130400;11587;9852;25;0.0755521472392638;11687
237;238_SVDB_id_2_Medical_tr_25000_1st_71963;SVDB;100000;25000;676;3;0.00676;71963
238;239_SVDB_id_3_Medical_tr_50000_1st_106634;SVDB;230400;50000;3503;27;0.015203993055555556;106634
239;240_SVDB_id_4_Medical_tr_18462_1st_18562;SVDB;130400;18462;6004;69;0.046042944785276076;18562
240;241_SVDB_id_5_Medical_tr_11587_1st_11687;SVDB;130400;11587;9852;25;0.0755521472392638;11687
241;242_SVDB_id_6_Medical_tr_10726_1st_10826;SVDB;180400;10726;2856;53;0.015831485587583148;10826
242;243_SVDB_id_7_Medical_tr_11393_1st_11493;SVDB;180400;11393;5547;65;0.030748337028824832;11493
243;244_SVDB_id_8_Medical_tr_17803_1st_17903;SVDB;130400;17803;3941;51;0.030222392638036808;17903
244;245_SVDB_id_9_Medical_tr_12607_1st_12707;SVDB;180400;12607;14891;301;0.08254434589800444;12707
245;246_SVDB_id_10_Medical_tr_20100_1st_68460;SVDB;80400;20100;535;11;0.006654228855721393;68460
246;247_SVDB_id_11_Medical_tr_20100_1st_23611;SVDB;80400;20100;945;17;0.011753731343283582;23611
247;248_SVDB_id_12_Medical_tr_18462_1st_18562;SVDB;130400;18462;6004;69;0.046042944785276076;18562
248;249_SVDB_id_13_Medical_tr_50000_1st_54982;SVDB;230400;50000;8578;115;0.037230902777777776;54982
249;250_SVDB_id_14_Medical_tr_50000_1st_107354;SVDB;230400;50000;6469;13;0.028077256944444445;107354
250;251_SVDB_id_15_Medical_tr_5421_1st_5521;SVDB;230400;5421;12809;167;0.05559461805555556;5521
251;252_SVDB_id_16_Medical_tr_12167_1st_12267;SVDB;230400;12167;6151;123;0.02669704861111111;12267
252;253_SVDB_id_17_Medical_tr_17803_1st_17903;SVDB;130400;17803;3941;51;0.030222392638036808;17903
253;254_SVDB_id_18_Medical_tr_30824_1st_30924;SVDB;230400;30824;7847;85;0.034058159722222224;30924
254;255_SVDB_id_19_Medical_tr_50000_1st_54982;SVDB;230400;50000;8578;115;0.037230902777777776;54982
255;256_SVDB_id_20_Medical_tr_6264_1st_6364;SVDB;230400;6264;7464;91;0.03239583333333333;6364
256;257_TAO_id_1_Environment_tr_500_1st_3;TAO;10000;500;954;1699;0.0954;3
257;258_TAO_id_2_Environment_tr_500_1st_4;TAO;10000;500;1380;2399;0.138;4
258;259_TAO_id_3_Environment_tr_500_1st_7;TAO;10000;500;488;937;0.0488;7
259;260_IOPS_id_1_WebService_tr_5000_1st_11804;IOPS;20000;5000;14;3;0.0007;11804
260;261_IOPS_id_2_WebService_tr_2178_1st_2278;IOPS;8784;2178;6;5;0.0006830601092896175;2278
